DBN,School Name,Borough,Total Enrollment,White Pct,Black Pct,Hispanic Pct,Asian Pct,Male Pct,Female Pct,Free Lunch Pct,ELL Pct
31R047,CSI High School for International Studies,Staten Island,380,42.4,12.4,22.5,22.6,48.6,51.4,38.5,5.5
31R063,Staten Island Technical High School,Staten Island,1180,52.4,5.2,8.5,33.9,58.4,41.6,18.5,1.5
31R080,The Michael J. Petrides School,Staten Island,380,48.4,12.4,22.5,16.8,50.3,49.7,35.5,3.8
31R440,New Dorp High School,Staten Island,2580,42.4,12.4,28.5,16.8,52.4,47.6,45.3,8.5
31R445,Port Richmond High School,Staten Island,1380,18.5,18.4,48.5,14.5,52.4,47.6,65.5,18.5
31R450,Curtis High School,Staten Island,1380,22.4,18.5,38.5,20.6,52.4,47.6,58.4,12.5
31R455,Tottenville High School,Staten Island,3580,62.4,5.2,18.5,13.9,52.4,47.6,28.5,3.5
31R460,Susan E. Wagner High School,Staten Island,2580,42.4,12.4,28.5,16.8,50.3,49.7,42.4,6.8
31R470,Ralph R. McKee Career and Technical Education High School,Staten Island,1380,22.4,18.5,42.5,16.5,62.4,37.6,62.4,10.5
31R600,Staten Island School of Civic Leadership,Staten Island,380,42.4,12.4,28.5,16.8,48.6,51.4,42.4,5.5
