checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
no checking,47,critical/other existing credit,furniture/equipment,3222,no known savings,unemployed,4,male single,none,3,real estate,29,none,own,1,skilled,1,yes,yes,bad
no checking,41,critical/other existing credit,education,11390,no known savings,1<=X<4,3,female div/dep/mar,none,2,car,65,none,for free,1,skilled,2,none,yes,good
no checking,65,critical/other existing credit,radio/tv,18261,<100,1<=X<4,4,male single,none,4,no known property,63,none,own,1,unskilled resident,2,none,yes,good
no checking,25,existing paid,furniture/equipment,15097,<100,4<=X<7,4,female div/dep/mar,none,2,no known property,36,bank,own,1,skilled,1,yes,yes,bad
no checking,43,critical/other existing credit,business,14673,<100,>=7,4,female div/dep/mar,none,4,life insurance,68,none,for free,2,skilled,1,none,yes,good
<0,29,no credits/all paid,new car,1738,<100,<1,4,male mar/wid,none,3,real estate,43,none,own,2,unskilled resident,1,none,yes,bad
<0,8,no credits/all paid,furniture/equipment,9377,<100,<1,4,male single,co applicant,4,car,67,none,own,1,skilled,2,yes,yes,good
no checking,57,existing paid,new car,10156,no known savings,>=7,3,male single,none,2,real estate,40,none,own,1,skilled,1,yes,yes,good
no checking,52,existing paid,radio/tv,2052,100<=X<500,<1,2,male mar/wid,none,4,no known property,63,none,for free,1,unskilled resident,1,yes,yes,good
<0,6,critical/other existing credit,business,15877,no known savings,1<=X<4,3,male single,co applicant,3,real estate,53,none,rent,2,unskilled resident,1,yes,yes,bad
<0,41,delayed previously,used car,3770,no known savings,4<=X<7,4,male single,none,4,real estate,47,bank,own,2,skilled,2,yes,yes,good
no checking,17,existing paid,education,6146,500<=X<1000,1<=X<4,4,male single,none,1,life insurance,39,bank,own,2,unskilled resident,1,none,yes,good
<0,50,existing paid,used car,15494,<100,<1,2,male single,none,3,life insurance,74,none,own,1,unskilled resident,1,none,yes,good
<0,17,critical/other existing credit,business,3561,100<=X<500,unemployed,1,female div/dep/mar,none,4,car,25,stores,own,1,skilled,1,none,yes,good
>=200,41,existing paid,radio/tv,8259,<100,<1,4,male mar/wid,none,4,life insurance,30,stores,for free,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,67,existing paid,domestic appliance,12156,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,54,none,for free,2,skilled,1,yes,yes,good
no checking,47,existing paid,new car,12477,<100,1<=X<4,3,female div/dep/mar,none,1,real estate,42,bank,rent,1,unskilled resident,2,yes,no,bad
<0,68,critical/other existing credit,business,5712,100<=X<500,<1,4,male single,none,1,life insurance,50,none,own,2,skilled,1,none,no,good
no checking,28,delayed previously,radio/tv,13310,<100,4<=X<7,3,male single,none,3,real estate,45,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad
<0,19,existing paid,used car,3708,<100,>=7,1,male single,none,1,car,50,none,own,2,skilled,1,none,yes,good
0<=X<200,18,all paid,repairs,3980,<100,unemployed,2,male single,none,4,car,50,none,own,2,skilled,1,none,yes,good
no checking,6,delayed previously,used car,7797,<100,1<=X<4,2,male single,none,2,car,50,none,for free,2,skilled,1,yes,yes,good
no checking,70,delayed previously,education,277,500<=X<1000,4<=X<7,2,female div/dep/mar,none,3,no known property,44,none,own,3,skilled,1,none,yes,bad
no checking,40,existing paid,new car,15758,500<=X<1000,1<=X<4,3,female div/dep/mar,none,1,no known property,29,none,rent,1,unskilled resident,1,none,yes,bad
no checking,58,critical/other existing credit,radio/tv,6673,<100,1<=X<4,3,female div/dep/mar,none,3,no known property,64,none,rent,1,skilled,1,none,yes,good
>=200,41,existing paid,radio/tv,12703,<100,4<=X<7,2,male single,none,2,real estate,36,none,own,1,skilled,1,none,yes,bad
<0,66,existing paid,new car,17807,<100,>=7,1,female div/dep/mar,none,1,real estate,57,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,4,critical/other existing credit,used car,16972,<100,>=7,2,female div/dep/mar,none,2,life insurance,23,none,own,1,skilled,1,yes,yes,good
<0,22,existing paid,new car,9510,<100,4<=X<7,4,male single,none,2,no known property,34,none,for free,1,unemp/unskilled non res,1,none,yes,good
<0,55,delayed previously,furniture/equipment,16111,no known savings,4<=X<7,3,female div/dep/mar,none,4,no known property,29,none,for free,1,skilled,1,none,yes,good
no checking,33,existing paid,used car,17475,<100,1<=X<4,4,male single,none,2,no known property,72,none,own,2,skilled,1,yes,yes,good
0<=X<200,58,existing paid,radio/tv,12726,<100,4<=X<7,4,male single,guarantor,3,real estate,53,bank,own,1,skilled,1,yes,yes,bad
no checking,17,critical/other existing credit,used car,13188,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,66,none,own,1,unskilled resident,1,none,yes,good
no checking,16,existing paid,used car,16927,<100,<1,4,male single,none,4,life insurance,29,none,own,1,skilled,1,none,yes,bad
no checking,30,critical/other existing credit,radio/tv,10299,<100,4<=X<7,2,male single,none,4,real estate,60,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,existing paid,new car,18281,100<=X<500,1<=X<4,4,male single,co applicant,4,life insurance,41,none,rent,1,skilled,1,yes,no,good
>=200,44,existing paid,business,5864,<100,1<=X<4,2,male single,none,3,real estate,73,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,51,no credits/all paid,education,11933,<100,>=7,4,male single,none,4,car,52,none,own,2,skilled,1,yes,yes,bad
<0,15,delayed previously,radio/tv,11937,<100,unemployed,1,male single,none,1,life insurance,66,bank,own,1,skilled,1,none,yes,bad
no checking,13,existing paid,radio/tv,4051,<100,1<=X<4,4,male div/sep,none,3,life insurance,35,none,own,1,skilled,1,none,no,good
0<=X<200,9,critical/other existing credit,retraining,8530,<100,unemployed,1,male single,none,4,car,28,none,rent,2,skilled,1,none,yes,bad
<0,37,existing paid,new car,7626,no known savings,>=7,4,male single,none,3,no known property,36,none,rent,1,skilled,1,yes,yes,bad
no checking,55,critical/other existing credit,new car,10398,100<=X<500,4<=X<7,2,male div/sep,none,4,car,62,none,own,2,skilled,1,none,yes,good
<0,44,existing paid,used car,14310,<100,1<=X<4,4,male single,none,4,life insurance,26,stores,own,1,skilled,1,none,no,good
no checking,9,critical/other existing credit,radio/tv,17533,<100,4<=X<7,3,male mar/wid,co applicant,2,car,44,none,own,1,skilled,1,none,yes,good
no checking,5,critical/other existing credit,new car,1994,<100,1<=X<4,2,male single,none,4,no known property,21,none,own,2,unskilled resident,1,yes,yes,good
no checking,18,critical/other existing credit,radio/tv,12103,<100,>=7,4,male single,none,3,real estate,70,bank,own,2,skilled,2,none,yes,good
0<=X<200,20,critical/other existing credit,business,14913,100<=X<500,1<=X<4,4,male mar/wid,none,2,car,42,none,own,1,skilled,1,none,yes,bad
<0,19,critical/other existing credit,education,1883,100<=X<500,1<=X<4,1,male single,none,4,life insurance,21,none,own,1,skilled,1,none,yes,good
no checking,31,delayed previously,radio/tv,8399,<100,>=7,4,male single,none,2,real estate,56,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
0<=X<200,13,existing paid,new car,14921,<100,1<=X<4,4,male single,none,4,car,20,none,own,2,unskilled resident,1,none,yes,good
no checking,13,no credits/all paid,repairs,4951,<100,<1,4,male single,none,3,no known property,53,none,own,1,skilled,1,none,yes,good
no checking,13,critical/other existing credit,radio/tv,13599,no known savings,4<=X<7,3,male single,none,2,real estate,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,31,existing paid,new car,1263,100<=X<500,>=7,3,male single,none,4,car,27,none,own,1,unemp/unskilled non res,1,yes,no,good
0<=X<200,27,critical/other existing credit,new car,16529,<100,1<=X<4,4,male single,none,3,no known property,54,none,rent,1,skilled,1,none,yes,bad
0<=X<200,22,existing paid,business,3549,<100,<1,3,male mar/wid,none,2,no known property,40,none,own,1,skilled,1,yes,yes,bad
no checking,71,existing paid,radio/tv,1756,100<=X<500,1<=X<4,3,male single,none,1,real estate,49,bank,own,1,unskilled resident,1,yes,yes,good
0<=X<200,59,existing paid,repairs,5053,<100,1<=X<4,1,female div/dep/mar,none,4,no known property,73,none,own,1,skilled,1,yes,yes,bad
<0,70,delayed previously,education,17611,<100,<1,2,male single,none,1,life insurance,52,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
>=200,45,existing paid,radio/tv,15010,<100,4<=X<7,4,male single,none,4,car,42,none,own,1,unemp/unskilled non res,2,yes,yes,good
no checking,15,existing paid,furniture/equipment,11076,100<=X<500,>=7,4,female div/dep/mar,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
no checking,21,existing paid,furniture/equipment,14071,<100,1<=X<4,3,male single,none,4,real estate,64,none,rent,1,skilled,2,none,yes,good
>=200,26,all paid,used car,13257,<100,1<=X<4,2,male single,none,4,car,61,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,9,existing paid,furniture/equipment,16036,no known savings,1<=X<4,3,male single,none,2,life insurance,20,none,rent,2,unskilled resident,1,none,yes,good
no checking,56,existing paid,radio/tv,9390,<100,<1,2,female div/dep/mar,none,3,real estate,39,bank,own,1,skilled,1,none,no,good
no checking,45,critical/other existing credit,radio/tv,7048,<100,>=7,3,male single,none,4,real estate,52,stores,own,2,skilled,1,none,yes,bad
<0,69,existing paid,retraining,17107,<100,1<=X<4,4,male single,none,4,car,45,none,own,1,skilled,1,yes,yes,good
0<=X<200,33,existing paid,furniture/equipment,817,<100,1<=X<4,4,female div/dep/mar,guarantor,3,real estate,55,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,12,no credits/all paid,radio/tv,11874,>=1000,4<=X<7,1,male mar/wid,none,4,car,25,none,own,1,skilled,2,yes,yes,good
no checking,45,all paid,radio/tv,12465,<100,1<=X<4,4,male single,none,4,real estate,40,bank,rent,2,unskilled resident,1,yes,yes,bad
no checking,37,existing paid,radio/tv,8216,<100,4<=X<7,3,female div/dep/mar,guarantor,4,real estate,22,none,own,1,skilled,1,yes,yes,bad
no checking,43,existing paid,radio/tv,8370,<100,unemployed,4,male single,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad
0<=X<200,20,existing paid,used car,16529,100<=X<500,>=7,2,male single,none,2,life insurance,52,none,rent,1,skilled,1,yes,yes,good
0<=X<200,32,existing paid,furniture/equipment,11586,100<=X<500,>=7,4,female div/dep/mar,none,4,life insurance,41,none,own,2,skilled,1,none,yes,good
no checking,53,delayed previously,new car,4560,<100,4<=X<7,2,female div/dep/mar,none,2,life insurance,62,none,own,3,skilled,1,none,yes,bad
no checking,52,critical/other existing credit,furniture/equipment,13437,<100,>=7,3,female div/dep/mar,co applicant,1,no known property,60,bank,own,1,skilled,2,none,yes,good
no checking,64,critical/other existing credit,furniture/equipment,14339,500<=X<1000,<1,1,female div/dep/mar,none,2,car,43,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,49,no credits/all paid,radio/tv,2232,<100,1<=X<4,2,male single,none,1,real estate,19,none,own,2,unskilled resident,1,none,yes,good
0<=X<200,49,existing paid,business,1346,no known savings,4<=X<7,1,male single,none,1,life insurance,69,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,20,existing paid,radio/tv,13832,no known savings,4<=X<7,2,female div/dep/mar,none,2,no known property,73,none,own,2,skilled,2,none,yes,good
no checking,69,existing paid,radio/tv,6747,no known savings,1<=X<4,1,female div/dep/mar,none,1,life insurance,66,none,own,2,skilled,1,none,yes,good
no checking,8,critical/other existing credit,furniture/equipment,13795,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,33,none,own,2,skilled,2,yes,yes,good
no checking,57,existing paid,radio/tv,11832,<100,<1,1,male mar/wid,none,1,car,50,none,rent,1,skilled,1,yes,yes,good
no checking,19,existing paid,new car,15628,>=1000,1<=X<4,4,female div/dep/mar,none,2,car,32,bank,rent,1,skilled,1,yes,yes,bad
no checking,10,existing paid,used car,11114,<100,<1,2,male mar/wid,none,1,car,59,none,own,2,skilled,1,none,yes,good
0<=X<200,11,delayed previously,furniture/equipment,4529,<100,4<=X<7,4,male single,none,1,real estate,39,none,for free,1,skilled,1,none,no,good
0<=X<200,41,existing paid,furniture/equipment,17307,no known savings,<1,4,female div/dep/mar,none,2,real estate,73,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,57,no credits/all paid,new car,7562,no known savings,unemployed,2,male single,none,3,car,65,none,rent,1,skilled,1,none,yes,good
>=200,18,existing paid,new car,15690,<100,1<=X<4,4,male single,none,4,real estate,25,none,own,1,unskilled resident,1,yes,yes,good
<0,53,existing paid,used car,2619,<100,4<=X<7,1,male single,none,4,life insurance,54,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,59,all paid,business,16442,<100,>=7,4,male mar/wid,none,4,car,39,none,own,2,skilled,1,yes,yes,good
0<=X<200,12,existing paid,used car,17700,>=1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,68,bank,own,1,unskilled resident,2,none,yes,good
0<=X<200,11,no credits/all paid,furniture/equipment,5682,no known savings,1<=X<4,1,female div/dep/mar,guarantor,2,no known property,58,bank,own,1,skilled,1,none,yes,bad
>=200,22,all paid,new car,937,<100,>=7,2,male single,none,1,car,30,none,own,1,unskilled resident,1,yes,yes,good
<0,54,existing paid,radio/tv,13425,<100,1<=X<4,1,female div/dep/mar,none,4,car,33,none,own,1,skilled,1,none,yes,good
<0,60,existing paid,used car,318,no known savings,<1,3,female div/dep/mar,none,1,real estate,33,none,own,2,unemp/unskilled non res,1,none,yes,good
no checking,71,existing paid,new car,10545,<100,1<=X<4,4,male div/sep,guarantor,3,real estate,35,bank,own,2,skilled,1,none,no,bad
0<=X<200,34,delayed previously,furniture/equipment,7024,<100,>=7,3,male div/sep,none,2,life insurance,52,none,own,1,skilled,1,yes,yes,good
<0,6,critical/other existing credit,new car,17053,no known savings,1<=X<4,3,male single,none,2,real estate,62,none,for free,2,skilled,1,none,yes,bad
0<=X<200,46,existing paid,new car,12440,<100,1<=X<4,1,female div/dep/mar,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,32,existing paid,new car,11039,100<=X<500,<1,2,male single,none,4,real estate,57,none,own,4,high qualif/self emp/mgmt,1,none,yes,good
<0,13,existing paid,new car,7141,<100,<1,1,male single,none,4,life insurance,56,none,own,1,skilled,1,none,yes,good
no checking,15,delayed previously,new car,10566,<100,1<=X<4,4,male single,none,3,life insurance,32,bank,for free,1,unskilled resident,1,yes,yes,good
<0,49,delayed previously,furniture/equipment,689,>=1000,4<=X<7,1,male div/sep,none,4,car,73,none,rent,1,skilled,2,none,yes,good
<0,33,no credits/all paid,domestic appliance,17842,<100,<1,4,male single,none,4,real estate,23,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,35,critical/other existing credit,radio/tv,7716,no known savings,>=7,2,male div/sep,none,4,life insurance,48,none,own,1,skilled,1,none,yes,good
0<=X<200,50,all paid,furniture/equipment,17887,<100,>=7,2,male single,none,2,real estate,22,none,own,2,unskilled resident,1,none,yes,good
no checking,66,existing paid,used car,3459,<100,4<=X<7,4,male single,none,4,no known property,33,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,29,critical/other existing credit,business,3799,<100,>=7,3,male single,none,4,real estate,57,bank,own,2,skilled,1,none,yes,bad
no checking,6,critical/other existing credit,furniture/equipment,17248,<100,<1,3,male single,none,2,no known property,53,none,rent,1,skilled,1,none,yes,bad
0<=X<200,26,critical/other existing credit,new car,3328,<100,1<=X<4,4,male single,none,4,car,63,stores,own,2,high qualif/self emp/mgmt,2,yes,yes,good
0<=X<200,53,critical/other existing credit,radio/tv,3740,<100,4<=X<7,3,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,bad
no checking,39,existing paid,new car,3793,<100,>=7,2,male single,none,3,car,73,none,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
<0,16,critical/other existing credit,furniture/equipment,7001,<100,>=7,3,male single,none,2,real estate,20,none,own,3,skilled,1,none,yes,good
0<=X<200,32,all paid,furniture/equipment,15156,500<=X<1000,1<=X<4,4,female div/dep/mar,none,3,no known property,62,none,own,3,high qualif/self emp/mgmt,1,none,yes,good
<0,41,critical/other existing credit,education,18346,100<=X<500,>=7,1,male single,none,4,car,42,none,own,2,skilled,1,none,yes,good
<0,8,existing paid,furniture/equipment,14675,500<=X<1000,<1,3,male mar/wid,none,4,life insurance,46,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,23,critical/other existing credit,radio/tv,12061,<100,>=7,1,male mar/wid,none,1,life insurance,40,none,own,1,unskilled resident,1,yes,yes,good
no checking,17,existing paid,business,17828,<100,>=7,2,male single,none,3,real estate,62,none,own,1,skilled,2,yes,yes,good
no checking,11,delayed previously,new car,7031,100<=X<500,<1,3,male single,co applicant,1,no known property,50,none,rent,1,skilled,2,yes,yes,good
0<=X<200,51,existing paid,used car,18012,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,49,none,own,1,skilled,2,yes,yes,bad
<0,16,critical/other existing credit,furniture/equipment,15813,<100,unemployed,4,male mar/wid,none,2,car,37,none,own,1,skilled,1,none,yes,bad
<0,27,all paid,furniture/equipment,15047,>=1000,1<=X<4,1,female div/dep/mar,none,3,life insurance,69,none,own,2,skilled,2,none,yes,good
<0,68,all paid,furniture/equipment,17383,>=1000,1<=X<4,3,male single,none,4,no known property,39,none,own,2,unskilled resident,1,yes,no,good
>=200,37,existing paid,business,550,<100,4<=X<7,4,female div/dep/mar,none,1,real estate,21,bank,own,1,skilled,2,yes,yes,good
no checking,54,existing paid,radio/tv,4945,<100,>=7,2,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,no,good
no checking,6,critical/other existing credit,radio/tv,12424,500<=X<1000,4<=X<7,4,male single,none,2,life insurance,50,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,61,existing paid,used car,16472,<100,1<=X<4,4,male mar/wid,none,2,car,20,none,own,2,unskilled resident,2,none,yes,good
no checking,58,critical/other existing credit,repairs,16911,>=1000,>=7,4,female div/dep/mar,none,2,real estate,42,bank,own,1,unskilled resident,2,yes,yes,good
no checking,45,existing paid,business,11000,500<=X<1000,>=7,1,male single,none,4,real estate,63,none,for free,1,skilled,1,none,yes,good
>=200,24,existing paid,repairs,7557,>=1000,unemployed,2,female div/dep/mar,guarantor,4,real estate,45,bank,own,1,skilled,1,none,yes,bad
no checking,13,critical/other existing credit,new car,14068,<100,>=7,4,female div/dep/mar,none,4,car,27,none,own,1,skilled,1,none,yes,bad
0<=X<200,60,delayed previously,radio/tv,1639,<100,<1,4,male single,none,4,real estate,31,none,own,2,skilled,1,yes,yes,good
<0,28,existing paid,new car,9132,100<=X<500,>=7,4,male single,none,2,car,73,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,59,existing paid,used car,10290,100<=X<500,1<=X<4,1,female div/dep/mar,none,2,real estate,32,none,own,1,skilled,1,yes,yes,bad
no checking,41,critical/other existing credit,new car,6391,500<=X<1000,<1,4,female div/dep/mar,none,2,no known property,69,none,own,1,skilled,1,none,no,good
<0,64,existing paid,radio/tv,13360,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,29,none,own,3,unskilled resident,1,yes,yes,good
<0,50,critical/other existing credit,radio/tv,6219,<100,4<=X<7,1,female div/dep/mar,none,4,car,32,none,own,1,skilled,1,yes,yes,good
<0,57,critical/other existing credit,new car,13412,no known savings,1<=X<4,3,male mar/wid,none,2,life insurance,34,none,own,2,unskilled resident,1,none,yes,good
<0,49,delayed previously,furniture/equipment,9381,500<=X<1000,unemployed,4,male mar/wid,none,2,real estate,28,none,own,2,skilled,1,none,yes,bad
no checking,71,existing paid,furniture/equipment,5287,no known savings,4<=X<7,2,female div/dep/mar,none,3,real estate,38,none,own,2,skilled,1,none,yes,good
no checking,7,delayed previously,furniture/equipment,14943,500<=X<1000,>=7,2,male single,none,3,real estate,34,none,for free,1,skilled,1,none,yes,good
0<=X<200,69,all paid,new car,2701,<100,1<=X<4,4,male mar/wid,none,4,car,52,none,own,1,skilled,1,yes,yes,good
<0,46,no credits/all paid,furniture/equipment,274,100<=X<500,<1,3,male div/sep,none,2,car,75,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,65,existing paid,radio/tv,6212,no known savings,1<=X<4,4,male single,none,4,no known property,34,none,own,1,unskilled resident,1,none,yes,good
0<=X<200,7,existing paid,new car,2806,<100,unemployed,2,male mar/wid,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad
<0,68,critical/other existing credit,new car,16694,100<=X<500,>=7,2,female div/dep/mar,none,4,car,71,stores,own,1,unskilled resident,1,none,yes,good
0<=X<200,65,critical/other existing credit,furniture/equipment,7925,<100,>=7,4,female div/dep/mar,none,4,life insurance,46,none,own,1,skilled,2,yes,yes,good
0<=X<200,5,critical/other existing credit,business,16756,<100,4<=X<7,4,male mar/wid,none,4,life insurance,36,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,12,existing paid,radio/tv,5866,500<=X<1000,1<=X<4,1,male single,none,1,real estate,44,none,for free,2,skilled,1,yes,yes,good
no checking,60,existing paid,radio/tv,10544,<100,>=7,4,male div/sep,none,2,life insurance,56,none,own,2,skilled,1,yes,yes,good
<0,48,existing paid,furniture/equipment,17820,<100,1<=X<4,1,female div/dep/mar,guarantor,3,life insurance,25,bank,own,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,21,critical/other existing credit,radio/tv,14260,<100,>=7,1,male single,none,2,car,63,none,own,1,skilled,2,none,yes,good
no checking,51,all paid,new car,13644,<100,4<=X<7,2,male single,none,4,no known property,52,none,own,1,skilled,1,yes,yes,good
0<=X<200,45,critical/other existing credit,radio/tv,10172,<100,>=7,2,male single,none,4,life insurance,65,none,rent,2,skilled,1,none,yes,good
no checking,44,existing paid,business,4339,<100,4<=X<7,4,male mar/wid,none,1,real estate,67,bank,own,1,skilled,1,none,yes,bad
no checking,61,existing paid,radio/tv,14698,no known savings,1<=X<4,4,female div/dep/mar,none,3,life insurance,63,none,own,3,unskilled resident,1,none,yes,good
<0,45,critical/other existing credit,education,2722,<100,>=7,4,male single,none,2,car,25,none,own,2,skilled,1,yes,yes,good
<0,38,existing paid,radio/tv,10719,<100,1<=X<4,4,male single,co applicant,4,real estate,51,none,rent,1,skilled,1,yes,yes,good
no checking,41,critical/other existing credit,new car,7700,<100,4<=X<7,3,male single,guarantor,4,car,53,none,own,2,unskilled resident,2,none,yes,good
<0,70,critical/other existing credit,business,3214,100<=X<500,<1,4,female div/dep/mar,none,3,no known property,70,none,own,1,skilled,1,none,yes,good
>=200,44,existing paid,new car,8354,<100,4<=X<7,4,male mar/wid,none,1,no known property,68,none,rent,1,skilled,1,yes,yes,good
no checking,53,existing paid,radio/tv,17944,no known savings,1<=X<4,4,male single,co applicant,4,real estate,57,bank,own,2,unskilled resident,1,yes,yes,good
>=200,48,existing paid,new car,2462,100<=X<500,<1,4,male single,none,4,no known property,39,stores,own,2,skilled,2,none,yes,good
0<=X<200,22,critical/other existing credit,new car,9704,>=1000,unemployed,4,male single,none,2,car,67,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,20,existing paid,furniture/equipment,7042,<100,4<=X<7,1,female div/dep/mar,none,4,life insurance,46,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,68,delayed previously,used car,9804,100<=X<500,>=7,4,male single,none,4,car,50,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
>=200,59,delayed previously,furniture/equipment,8953,<100,1<=X<4,4,male single,none,3,no known property,62,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,44,critical/other existing credit,radio/tv,13469,no known savings,<1,4,male single,none,3,life insurance,34,none,own,1,unemp/unskilled non res,1,none,yes,bad
0<=X<200,45,existing paid,new car,15649,100<=X<500,4<=X<7,2,male mar/wid,none,2,life insurance,74,none,own,1,skilled,1,yes,yes,bad
no checking,9,critical/other existing credit,new car,7910,<100,<1,3,male single,none,3,life insurance,28,none,own,1,skilled,2,none,yes,good
no checking,72,critical/other existing credit,radio/tv,1952,<100,1<=X<4,4,male single,none,3,car,41,none,own,2,skilled,2,yes,yes,good
<0,43,existing paid,furniture/equipment,17024,<100,<1,2,male single,none,2,real estate,66,none,own,1,skilled,1,none,yes,good
<0,44,existing paid,radio/tv,17288,100<=X<500,<1,4,female div/dep/mar,none,1,no known property,70,bank,own,1,skilled,2,yes,yes,good
<0,12,critical/other existing credit,radio/tv,4521,<100,<1,2,male single,none,2,car,68,stores,own,2,skilled,1,yes,yes,good
<0,11,existing paid,education,9205,<100,1<=X<4,2,female div/dep/mar,none,2,car,33,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
<0,47,critical/other existing credit,radio/tv,11709,<100,unemployed,3,male single,co applicant,3,real estate,73,none,rent,2,skilled,1,yes,yes,bad
no checking,61,existing paid,furniture/equipment,6924,100<=X<500,1<=X<4,3,male single,co applicant,4,car,61,none,own,1,skilled,1,none,yes,good
<0,70,existing paid,radio/tv,17719,>=1000,1<=X<4,3,male single,none,4,real estate,68,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
0<=X<200,16,critical/other existing credit,used car,5696,>=1000,1<=X<4,3,male single,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad
no checking,22,existing paid,used car,2213,500<=X<1000,1<=X<4,2,male single,none,2,car,51,stores,own,1,unskilled resident,1,yes,yes,good
<0,52,existing paid,radio/tv,10227,<100,>=7,2,female div/dep/mar,none,4,life insurance,73,none,own,1,skilled,2,none,yes,good
no checking,33,existing paid,furniture/equipment,10716,<100,<1,1,male single,guarantor,3,car,57,none,own,1,skilled,2,none,yes,good
0<=X<200,69,existing paid,domestic appliance,5427,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,real estate,30,none,own,1,skilled,1,none,yes,good
<0,62,existing paid,repairs,11410,<100,<1,3,female div/dep/mar,none,3,life insurance,70,none,rent,1,skilled,2,none,yes,good
no checking,56,existing paid,education,4822,<100,<1,4,male single,none,4,real estate,54,stores,own,2,skilled,1,yes,yes,good
no checking,55,critical/other existing credit,business,7793,<100,4<=X<7,2,female div/dep/mar,none,1,no known property,49,none,own,1,skilled,2,yes,yes,good
no checking,34,existing paid,furniture/equipment,9157,<100,1<=X<4,1,male div/sep,none,4,car,28,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
no checking,18,delayed previously,used car,16876,<100,>=7,4,male single,none,4,car,71,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,23,existing paid,radio/tv,6760,no known savings,1<=X<4,2,male single,none,4,life insurance,52,none,own,1,unskilled resident,2,none,yes,bad
0<=X<200,8,critical/other existing credit,furniture/equipment,17471,<100,>=7,4,male single,none,4,real estate,59,none,for free,1,unskilled resident,1,none,yes,good
<0,10,existing paid,radio/tv,3573,<100,unemployed,4,male mar/wid,none,2,no known property,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,21,critical/other existing credit,radio/tv,9787,<100,<1,2,male single,none,3,life insurance,70,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,59,existing paid,radio/tv,10865,100<=X<500,unemployed,2,male single,none,3,life insurance,29,bank,own,2,high qualif/self emp/mgmt,1,none,yes,good
no checking,48,existing paid,furniture/equipment,1682,<100,<1,3,female div/dep/mar,none,3,car,75,none,for free,2,high qualif/self emp/mgmt,2,none,yes,good
0<=X<200,31,all paid,new car,7905,no known savings,1<=X<4,1,male single,none,2,real estate,32,bank,for free,1,skilled,1,none,yes,bad
0<=X<200,53,existing paid,furniture/equipment,8681,no known savings,4<=X<7,1,male single,none,4,car,21,none,own,1,skilled,2,yes,yes,good
